name,label.x,label.y
psychant,Psychometric Antonym Correlation,NA
psychsyn,Psychometric Synonym Correlation,NA
evenodd,Even-Odd Consistency,NA
longstr_no_reverse,Longest String Length: Entire Survey without reverse scoring,NA
avgstr_no_reverse,Average String Length: Entire Survey with reverse scoring,NA
longstr_no_reverse_scc,Longest String Length: Self-Concept Clarity Scale without reverse scoring,NA
avgstr_no_reverse_scc,Average String Length: Self-Concept Clarity Scale without reverse scoring,NA
longstr_no_reverse_mcarm,Longest String Length: Military-Civilian Adjustment and Reintegration Measure without reverse scoring,NA
avgstr_no_reverse_mcarm,Average String Length: Military-Civilian Adjustment and Reintegration Measure without reverse scoring,NA
longstr_no_reverse_biis,Longest String Length: Bicultural Identity Integration Scale-2 without reverse scoring,NA
avgstr_no_reverse_biis,Average String Length: Bicultural Identity Integration Scale-2 without reverse scoring,NA
longstr_reverse_scc,Longest String Length: Self-Concept Clarity Scale with reverse scoring,NA
avgstr_reverse_scc,Average String Length: Self-Concept Clarity Scale with reverse scoring ,NA
longstr_mios,Longest String Length: Moral Injury Outcomes Scale,NA
avgstr_mios,Average String Length: Moral Injury Outcomes Scale,NA
longstr_reverse_mcarm,Longest String Length: Military-Civilian Adjustment and Reintegration Measure with reverse scoring,NA
avgstr_reverse_mcarm,Average String Length: Military-Civilian Adjustment and Reintegration Measure with reverse scoring,NA
longstr_m2cq,Longest String Length: Military to Civilian Questionnaire with revese scoring,NA
avgstr_m2cq,Average String Length: Military to Civilian Questionnaire with revese scoring,NA
longstr_reverse_biis,Longest String Length: Bicultural Identity Integration Scale-2 with reverse scoring,NA
avgstr_reverse_biis,Average String Length: Bicultural Identity Integration Scale-2 with reverse scoring,NA
longstr_reverse,Longest String Length: Entire Survey with reverse scoring,NA
avgstr_reverse,Average String Length: Entire Survey with reverse scoring,NA
StartDate,,Start Date
EndDate,,End Date
Status,,Response Type
Progress,,Progress
Duration (in seconds),,Duration (in seconds)
Finished,,Finished
RecordedDate,,Recorded Date
ResponseId,,Response ID
DistributionChannel,,Distribution Channel
UserLanguage,,User Language
Q_RecaptchaScore,,Q_RecaptchaScore
Q_RelevantIDDuplicate,,Q_RelevantIDDuplicate
Q_RelevantIDDuplicateScore,,Q_RelevantIDDuplicateScore
Q_RelevantIDFraudScore,,Q_RelevantIDFraudScore
Q_RelevantIDLastStartDate,,Q_RelevantIDLastStartDate
birth_year,,What year were you born?
at_least_18,,Are you at least 18 years old?
served,,Did you serve in the United States military?
separated,,"Are you now separated from the military? (e.g., discharged, released from active duty, transferred to the Inactive Ready Reserve)"
highest_rank,What is the highest pay grade you have achieved?,What is the highest pay grade you have achieved?
phone,,Are you taking the survey on a phone?
