term,estimate,std_estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),0.375,NA,0.182,2.0559,0.0411,NA,NA,c
mios_total,0.052,0.678,0.004,12.2127,0,0.669,0.686,c
ptsd_positive_screen,0.135,0.048,0.154,0.8738,0.3833,-0.257,0.352,c
military_exp_combat,-0.05,-0.027,0.095,-0.5322,0.5952,-0.214,0.159,c
officer,0.009,0.003,0.137,0.0672,0.9465,-0.266,0.273,c
sex_male,-0.126,-0.071,0.096,-1.3119,0.1911,-0.26,0.119,c
military_family_none,-0.129,-0.066,0.097,-1.3361,0.1831,-0.257,0.124,c
race_white,-0.188,-0.082,0.114,-1.6519,0.1001,-0.306,0.142,c
discharge_reasonNot yet discharged,-0.975,-0.117,0.428,-2.2804,0.0236,-0.96,0.727,c
discharge_reasonOther,-0.386,-0.106,0.219,-1.7665,0.0788,-0.537,0.325,c
discharge_reasonService Completed,-0.167,-0.098,0.141,-1.1825,0.2384,-0.376,0.18,c
discharge_reasonVoluntary Discharge,-0.079,-0.038,0.162,-0.486,0.6275,-0.356,0.281,c
disability,-0.04,-0.022,0.096,-0.4193,0.6754,-0.211,0.167,c
(Intercept),1.485,NA,0.316,4.7,0,NA,NA,b
mios_total,0.042,0.546,0.005,8.8578,0,0.537,0.556,b
biis_harmony,-0.026,-0.253,0.006,-4.2209,0,-0.265,-0.241,b
ptsd_positive_screen,0.04,0.014,0.15,0.2643,0.7918,-0.282,0.31,b
military_exp_combat,-0.113,-0.061,0.092,-1.2223,0.2231,-0.243,0.121,b
officer,0.038,0.014,0.131,0.2905,0.7717,-0.246,0.273,b
sex_male,-0.114,-0.064,0.092,-1.2348,0.2184,-0.246,0.118,b
military_family_none,-0.136,-0.07,0.093,-1.4692,0.1434,-0.253,0.113,b
race_white,-0.188,-0.082,0.109,-1.7279,0.0856,-0.297,0.133,b
discharge_reasonNot yet discharged,-0.925,-0.111,0.411,-2.2516,0.0254,-0.921,0.7,b
discharge_reasonOther,-0.304,-0.083,0.211,-1.4435,0.1505,-0.499,0.332,b
discharge_reasonService Completed,-0.161,-0.095,0.135,-1.1925,0.2345,-0.362,0.172,b
discharge_reasonVoluntary Discharge,-0.035,-0.017,0.156,-0.2232,0.8236,-0.323,0.29,b
disability,-0.048,-0.026,0.092,-0.524,0.6008,-0.208,0.155,b
(Intercept),43.889,NA,0.764,57.4154,0,NA,NA,a
mios_total,-0.448,-0.595,0.042,-10.7279,0,-0.677,-0.513,a
