variable,n,perc
Male,147,71.01449275362319
Female,60,28.985507246376812
White,175,84.54106280193237
Non-White,32,15.458937198067632
Enlisted,188,90.82125603864735
Officer,19,9.178743961352657
Negative screening,187,90.33816425120773
Positive PTSD screening,20,9.66183574879227
No combat deployment,155,74.8792270531401
Prior combat deployment,52,25.120772946859905
No unmet needs at transition,93,44.927536231884055
One or more unmet needs at transition,114,55.072463768115945
Service Completed,131,63.28502415458937
Voluntary Discharge,39,18.84057971014493
Medical Discharge,23,11.11111111111111
Other,12,5.797101449275362
Not yet discharged,2,0.966183574879227
