term,M,SD,Skew,Kurtosis,1,2,3,4,5,6,7,8,9,10
Centrality,10.92,2.69,-0.24,-0.02,NA,0.47,0.53,0.63,0.5,0.02,0.56,0.42,-0.23,-0.11
Connection,9.55,1.86,-0.76,0.49,0.47,NA,0.35,0.38,0.67,0.13,0.48,0.27,0.16,0.22
Family,7.45,2.21,0.17,-0.5,0.53,0.35,NA,0.74,0.34,-0.08,0.64,0.42,-0.44,-0.17
Interdependent,18.61,3.82,0.04,-0.08,0.63,0.38,0.74,NA,0.43,0.03,0.59,0.48,-0.4,-0.11
Private Regard,24.71,3.45,-1.37,2.59,0.5,0.67,0.34,0.43,NA,0.22,0.49,0.34,0.22,0.37
Public Regard,11.49,2.14,-0.31,0.44,0.02,0.13,-0.08,0.03,0.22,NA,-0.1,0.05,0.31,0.31
Skills,8.52,1.91,-0.22,-0.31,0.56,0.48,0.64,0.59,0.49,-0.1,NA,0.46,-0.21,-0.07
Biis Blendedness,21.96,4.92,-0.42,-0.44,0.42,0.27,0.42,0.48,0.34,0.05,0.46,NA,-0.13,0.03
Biis Harmony,37.21,7.98,-0.57,-0.47,-0.23,0.16,-0.44,-0.4,0.22,0.31,-0.21,-0.13,NA,0.55
Civilian Commit,13.56,2.32,-0.74,1.22,-0.11,0.22,-0.17,-0.11,0.37,0.31,-0.07,0.03,0.55,NA
