category,n,perc
18 to 34 years old,13,5.4 %
35 to 44 years old,31,12.9 %
45 to 54 years old,30,12.5 %
55 to 64 years old,45,18.8 %
65 to 74 years old,58,24.2 %
75 years and older,63,26.2 %
male,173,72.1 %
female,67,27.9 %
straight,222,92.5 %
Other,18,7.5 %
Applied or professional doctorate,4,1.7 %
Other sexuality,43,17.9 %
Bachelors degree,57,23.8 %
Doctorate,2,0.8 %
High school diploma or equivalent,35,14.6 %
Masters degree,35,14.6 %
Some college,64,26.7 %
White,192,80 %
Black or African American,23,9.6 %
Multiple,11,4.6 %
"Hispanic, Latino, or Spanish origin",8,3.3 %
"Some other race, ethnicity, or origin",3,1.2 %
Asian,2,0.8 %
American Indian or Alaska Native,1,0.4 %
Retired,130,54.2 %
Full Time,67,27.9 %
Unemployed,20,8.3 %
Part Time,16,6.7 %
Other,7,2.9 %
Married,153,63.7 %
Divorced,41,17.1 %
Never married,30,12.5 %
Widowed,16,6.7 %
