term,M,SD,Skew,Kurtosis,1,2,3,4,5,6,7,8,9,10
Centrality,10.92,2.69,-0.24,-0.02,NA,0.47,0.53,0.63,0.5,0.02,0.56,0.78,0.01,0.18
Connection,9.55,1.86,-0.76,0.49,0.47,NA,0.35,0.38,0.67,0.13,0.48,0.69,-0.42,-0.16
Family,7.45,2.21,0.17,-0.5,0.53,0.35,NA,0.74,0.34,-0.08,0.64,0.73,0.25,0.34
Interdependent,18.61,3.82,0.04,-0.08,0.63,0.38,0.74,NA,0.43,0.03,0.59,0.83,0.2,0.35
Private_regard,24.71,3.45,-1.37,2.59,0.5,0.67,0.34,0.43,NA,0.22,0.49,0.77,-0.39,-0.21
Public_regard,11.49,2.14,-0.31,0.44,0.02,0.13,-0.08,0.03,0.22,NA,-0.1,0.23,-0.27,-0.24
Skills,8.52,1.91,-0.22,-0.31,0.56,0.48,0.64,0.59,0.49,-0.1,NA,0.74,0.12,0.2
Total,91.26,12.76,-0.47,0.1,0.78,0.69,0.73,0.83,0.77,0.23,0.74,NA,-0.09,0.11
Mios,14.8,10.53,0.66,0.45,0.01,-0.42,0.25,0.2,-0.39,-0.27,0.12,-0.09,NA,0.63
Mios_ptsd_symptoms,0.63,1.15,2,3.41,0.18,-0.16,0.34,0.35,-0.21,-0.24,0.2,0.11,0.63,NA
