term,centrality,connection,family,interdependent,private_regard,public_regard,skills
(Intercept),1.575*,9.679*,6.559*,17.487*,26..1*,13.557*,8.2.*
Moral Injury Symptoms,-.034,-.074*,.015,.004,-.136*,-.054*,.006
,(-.134),(-.418),(.07),(.01),(-.413),(-.265),(.031)
PTSD Symptoms,1.527*,.526,.948*,2.6.*,.207,-.691,.487
,(.263),(.131),(.198),(.316),(.028),(-.149),(.118)
Service Era:  Persian Gulf,.412,.322,.742,.478,.757,-.552,.362
,(.069),(.078),(.152),(.057),(.099),(-.117),(.086)
Service Era:  Post 911,-.558,-.381,.044,-.43,-.001,.264,-.973
,(-.092),(-.091),(.009),(-.05),(.,(.055),(-.226)
Service Era:  Vietnam,.085,.429,.343,.578,.903,-.302,-.14
,(.016),(.114),(.077),(.075),(.129),(-.07),(-.036)
Male,-.342,-.306,-.206,.237,-.067,.313,-.132
,(-.058),(-.076),(-.043),(.028),(-.009),(.067),(-.032)
Branch:  Air Force,-.378,-.075,-.112,-.086,-.289,.155,.14
,(-.055),(-.016),(-.02),(-.009),(-.033),(.028),(.028)
Branch:  Marines,-.055,.873*,1.399*,2.9.*,1.579*,-.028,1.5.*
,(-.006),(.138),(.186),(.223),(.134),(-.004),(.231)
Branch:  Navy,-.346,-.042,-.047,-.1,-.379,-.171,.236
,(-.058),(-.01),(-.01),(-.012),(-.05),(-.036),(.056)
 White,.563,.409,.399,-.063,.681,-.039,.305
,(.074),(.078),(.064),(-.006),(.07),(-.006),(.057)
Military Family,.5,.224,.446,.46,.21,-.563,.632*
,(.077),(.05),(.084),(.05),(.025),(-.11),(.138)
Years of Service,.087*,.045,.041,.098,.058,.003,.053
,(.221),(.167),(.127),(.175),(.115),(.011),(.19)
Years Separation,-.01,.004,-.02,-.023,-.02,-.015,-.02
,(-.06),(.033),(-.149),(-.1),(-.093),(-.115),(-.175)
Rank E1 E3,-1.491*,-1..9*,-.886*,-2..6*,-2.678*,-.454,-1.783*
,(-.209),(-.223),(-.151),(-.204),(-.292),(-.08),(-.351)
Rank E7 E9,-1.383,.02,-.575,-1.365,-.416,-.323,-.098
,(-.151),(.003),(-.076),(-.105),(-.035),(-.044),(-.015)
Nonenlisted,-.313,-.131,-.649,-1.745*,.204,.112,-.162
,(-.037),(-.022),(-.093),(-.145),(.019),(.017),(-.027)
