category,n,perc
Army,115,46.7 %
Navy,64,26 %
Air Force,40,16.3 %
Marines,21,8.5 %
Multiple,4,1.6 %
Public Health Service,2,0.8 %
E-1 to E-3,40,16.3 %
E-4 to E-6,155,63 %
E-7 to E-9,24,9.8 %
O-1 to O-3,15,6.1 %
O-4 to O-6,9,3.7 %
W-1 to CW-5,3,1.2 %
Cold War,164,66.7 %
Korea,1,0.4 %
Multiple eras,152,61.8 %
Persian Gulf (pre-9/11),73,29.7 %
Persian Gulf (post-9/11),76,30.9 %
Post-WWII,0,0 %
Vietnam,96,39 %
Service Completed,157,63.8 %
Voluntary Discharge,47,19.1 %
Medical Discharge,28,11.4 %
Other,12,4.9 %
Not yet discharged,2,0.8 %
Prior combat deployment,69,28 %
Prior non-combat deployment,122,49.6 %
Prior peacekeeping deployment,36,14.6 %
Supported combat operations,58,23.6 %
Does not recieve VA Disability,174,70.7 %
Recieves VA Disability,72,29.3 %
0 to 4 years of service,100,40.7 %
5 to 9 years of service,91,37 %
10 to 15 years of service,17,6.9 %
15 to 20 years of service,3,1.2 %
20+ years of service,35,14.2 %
0 to 9  years since separation,31,12.6 %
10 to 19  years since separation,37,15 %
20 to 29  years since separation,39,15.9 %
30 to 39  years since separation,50,20.3 %
40 to 49 years since separation,39,15.9 %
50+ years since separation,50,20.3 %
